                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5535,                 4.9502,                 1.6594,                0.02767,                0.59643,                0.07275,                0.04016,                 1.4626,                 4.2338,                 1.2071,                  3e-05,                  3e-05,                  3e-05
                      2,                 1.8284,                  4.422,                 1.4561,                0.24838,                0.08333,                0.18014,                0.09918,                 1.4404,                 3.5131,                 1.1591,              6.307e-05,              6.307e-05,              6.307e-05
                      3,                 1.5347,                 3.1914,                 1.2985,                 0.5587,                0.19388,                0.27942,                 0.1632,                 1.6177,                 2.5913,                 1.2178,              8.822e-05,              8.822e-05,              8.822e-05
                      4,                  1.616,                 2.6543,                 1.2413,                0.48652,                0.43095,                 0.2719,                0.15005,                 1.9114,                 4.0139,                 1.3938,             0.00010545,             0.00010545,             0.00010545
                      5,                 1.4622,                 1.8905,                 1.2099,                0.79661,                0.15476,                0.23731,                 0.1448,                 1.7289,                  4.966,                 1.2615,             0.00011476,             0.00011476,             0.00011476
                      6,                 1.4057,                 1.6685,                 1.2018,                0.19367,                0.40357,                0.26158,                0.16028,                 1.6705,                 5.7161,                 1.2516,             0.00011615,             0.00011615,             0.00011615
                      7,                 1.3303,                 1.4941,                 1.1327,                0.35853,                0.20476,                0.24208,                0.15573,                 1.6393,                 6.6646,                 1.2621,             0.00010962,             0.00010962,             0.00010962
                      8,                 1.2254,                 1.4006,                   1.11,                0.29242,                0.24597,                0.28118,                0.17622,                 1.6826,                  6.391,                 1.3053,              9.517e-05,              9.517e-05,              9.517e-05
                      9,                 1.3068,                 1.3722,                 1.1458,                0.37409,                 0.2381,                0.32064,                0.19087,                 1.6312,                 5.7738,                 1.2874,               7.28e-05,               7.28e-05,               7.28e-05
                     10,                 1.2691,                 1.1728,                 1.0677,                0.33761,                 0.2381,                0.33712,                0.20319,                 1.6166,                 4.9028,                 1.2625,              4.251e-05,              4.251e-05,              4.251e-05
